Name,Administration,Pop2010,Pop2019,Region,city,city2
Moskva,GMO,11612885,12432531,Central,Moscow,XYZ123
Sankt-Peterburg,GSP,4879566,5383890,North West,Saint Petersburg,Leningrad
Novosibirsk,NSB,1473754,1618039,Siberia,XYZ123,XYZ123
Jekaterinburg,SVE,1349772,1483119,Ural,Yekaterinburg,Sverdlovsk
Niznij Novgorod,NNO,1250619,1253511,Volga,Nizhny Novgorod,Gorkij
Kazan,TAT,1143535,1251969,Volga,Kazan,XYZ123
Celjabinsk,CEL,1130132,1200719,Ural,Chelyabinsk,XYZ123
Omsk,OMS,1154116,1164815,Siberia,XYZ123,XYZ123
Samara,SAM,1164685,1156608,Volga,XYZ123,Kujbysev
Rostov-na-Donu,ROS,1089261,1133307,Southern,Rostov-on-Don,XYZ123
Ufa,BAS,1062319,1124226,Volga,XYZ123,XYZ123
Krasnojarsk,KNJ,973826,1095286,Siberia,Krasnoyarsk,XYZ123
Voronez,VRN,975373,1054111,Central,Voronezh,XYZ123
Perm,PER,991162,1053934,Volga,Perm,XYZ123
Volgograd,VGG,1021215,1013468,Southern,XYZ123,XYZ123
Krasnodar,KND,744995,918145,Southern,XYZ123,XYZ123
Saratov,SAR,837900,841902,Volga,XYZ123,XYZ123
Tjumen,TUM,581907,788666,Ural,Tyumen,XYZ123
Toljatti,SAM,719632,702831,Volga,Tolyatti,XYZ123
Izevsk,UDM,627734,648944,Volga,Izhevsk,Ustinov
Barnaul,ALT,612401,632723,Siberia,XYZ123,XYZ123
Uljanovsk,ULJ,614786,627870,Volga,Ulyanovsk,Simbirsk
Irkutsk,IRK,587891,623479,Siberia,XYZ123,XYZ123
Chabarovsk,CBR,577441,617473,Far East,Khabarovsk,XYZ123
Jaroslavl,JAR,591486,609828,Central,Yaroslavl,XYZ123
Vladivostok,PRI,592034,605049,Far East,XYZ123,XYZ123
Machackala,DAG,572076,601286,Northern Caucasus,Makhachkala,XYZ123
Tomsk,TOM,524669,575352,Siberia,XYZ123,XYZ123
Orenburg,ORB,548331,565341,Volga,XYZ123,XYZ123
Kemerovo,KEM,532981,558662,Siberia,XYZ123,XYZ123
Novokuzneck,KEM,547904,552105,Siberia,Novokuznetsk,XYZ123
Rjazan,RAZ,524927,539789,Central,Ryazan,XYZ123
Astrachan,AST,520339,534241,Southern,Astrakhan,XYZ123
Nabereznyje Celny,TAT,513193,533907,Volga,Naberezhnye Chelny,Bresnev
